Task Name,Resource Name,Work Hours Completion Percentage,Work hours,Unit
Main structure to topping-out status,Engineering Department,0%,480 hours,100%
Roof Engineering,Engineering Department,0%,240 hours,100%
Masonry Work,Engineering Department,0%,240 hours,100%
Interior Engineering,Engineering Department,0%,240 hours,100%
Interior plastering,Engineering Department,0%,240 hours,100%
Exterior Engineering Project,Engineering Department,0%,"1,240 hours",100%
Exterior Painting,Engineering Department,0%,240 hours,100%
Exterior Wall Insulation,Engineering Department,0%,240 hours,100%
Exterior Wall Cladding,Engineering Department,0%,360 hours,100%
Equipment Installation Engineering,Engineering Department,0%,400 hours,100%
Structure topping off to sellable condition,Engineering Department,0%,0 hours,100%
Exterior construction completed and all external scaffolding removed (in phases),Engineering Department,0%,240 hours,100%
Municipal Facilities Construction Commencement,Engineering Department,0%,720 hours,100%
Municipal Infrastructure Construction (Phased),Engineering Department,0%,720 hours,100%
Landscape Greening Construction,Engineering Department,0%,"1,168 hours",100%
Handle Supervision Reporting,Engineering Department,0%,16 hours,100%
Soil Testing,Engineering Department,0%,56 hours,100%
Landscape Construction Drawing Handover,R&D Department,0%,56 hours,100%
On-site Construction,Engineering Department,0%,720 hours,100%
Comment,Engineering Department,0%,8 hours,100%
Comment,R&D Department,0%,8 hours,100%
Comment,Marketing Department,0%,8 hours,100%
Comment,Cost Department,0%,8 hours,100%
Effect Adjustment,Engineering Department,0%,56 hours,100%
Effect Adjustment,R&D Department,0%,56 hours,100%
Effect Adjustment,Marketing Department,0%,56 hours,100%
Effect Adjustment,Cost Department,0%,56 hours,100%
Work cleanup completed,Engineering Department,0%,56 hours,100%
Check and Rectification,Engineering Department,0%,80 hours,100%
8. Landscape Construction Commencement,Engineering Department,0%,0 hours,100%
Engineering Completion,Engineering Department,0%,"1,040 hours",100%
Epidemic Prevention and Control,Engineering Department,0%,40 hours,100%
Drinking Water Quality Terminal Testing,Engineering Department,0%,16 hours,100%
Health and Epidemic Prevention Acceptance Report,Engineering Department,0%,24 hours,100%
Lightning protection inspection,Engineering Department,0%,88 hours,100%
Lightning protection inspection,Engineering Department,0%,40 hours,100%
Lightning protection inspection report,Engineering Department,0%,48 hours,100%
Environmental Protection Acceptance,Engineering Department,0%,96 hours,100%
Environmental Protection Testing,Engineering Department,0%,32 hours,100%
Environmental Protection Inspection Report,Engineering Department,0%,48 hours,100%
Planning Acceptance,Engineering Department,0%,120 hours,100%
Planning Inspection (Line Check),Engineering Department,0%,40 hours,100%
Planning Inspection Report,Engineering Department,0%,40 hours,100%
Fire Acceptance,Engineering Department,0%,88 hours,100%
Fire inspection,Engineering Department,0%,16 hours,100%
Fire Acceptance Report,Engineering Department,0%,48 hours,100%
Security Acceptance,Engineering Department,0%,240 hours,100%
Technical Prevention Testing,Engineering Department,0%,120 hours,100%
Technical Prevention Acceptance Report,Engineering Department,0%,80 hours,100%
Technical Supervision Bureau Acceptance (Elevator),Engineering Department,0%,80 hours,100%
Civil Air Defense Acceptance,Engineering Department,0%,40 hours,100%
Archive Acceptance,Engineering Department,0%,56 hours,100%
Indoor Air Quality Testing,Engineering Department,0%,40 hours,100%
Municipal Facilities Acceptance,Engineering Department,0%,480 hours,100%
Water Supply Acceptance and Obtaining Supporting Certifications,Engineering Department,0%,160 hours,100%
Power supply acceptance and obtaining supporting certificates,Engineering Department,0%,480 hours,100%
High-voltage section acceptance,Engineering Department,0%,120 hours,100%
Low-voltage Section Acceptance,Engineering Department,0%,120 hours,100%
Formal Power Supply,Engineering Department,0%,160 hours,100%
Issue supporting documents,Engineering Department,0%,160 hours,100%
Gas acceptance and obtaining supporting documents,Engineering Department,0%,400 hours,100%
Pressure Regulating Station Acceptance,Engineering Department,0%,40 hours,100%
Foreign Management Acceptance,Engineering Department,0%,160 hours,100%
Internal Management Acceptance,Engineering Department,0%,120 hours,100%
Formal Air Supply,Engineering Department,0%,16 hours,100%
Issue supporting documents,Engineering Department,0%,160 hours,100%
Drainage Acceptance and Obtaining Supporting Certifications,Engineering Department,0%,160 hours,100%
Communication Acceptance and Obtaining Supporting Documents,Engineering Department,0%,160 hours,100%
Cable TV Acceptance and Obtaining Supporting Documentation,Engineering Department,0%,160 hours,100%
Greening Acceptance,Engineering Department,0%,40 hours,100%
Wall Acceptance Inspection,Engineering Department,0%,40 hours,100%
Comprehensive Acceptance,Engineering Department,0%,24 hours,100%
Completion Filing,Engineering Department,0%,480 hours,100%
Completion Documents,Engineering Department,0%,480 hours,100%
Entity Acceptance,Engineering Department,0%,8 hours,100%
9. Completion Filing,Engineering Department,0%,0 hours,100%
Pre-transfer inspection and rectification,Engineering Department,0%,240 hours,100%
Construction of clubhouse (on-site sales office) and demonstration area,Engineering Department,0%,"1,408 hours",100%
Main Structure Construction,Engineering Department,0%,"1,232 hours",100%
Site Handover for Construction,Engineering Department,0%,32 hours,100%
Materials confirmation and price recognition completed,Cost Department,0%,120 hours,100%
Implementation and Confirmation of Renovation Samples,Engineering Department,0%,120 hours,100%
Pile Foundation Engineering,Engineering Department,0%,200 hours,100%
Basic Engineering,Engineering Department,0%,160 hours,100%
Main structure to topping-out status,Engineering Department,0%,400 hours,100%
Roof Engineering,Engineering Department,0%,200 hours,100%
Masonry Work,Engineering Department,0%,200 hours,100%
Interior Engineering,Engineering Department,0%,160 hours,100%
Interior plastering,Engineering Department,0%,160 hours,100%
Exterior Engineering Project,Engineering Department,0%,928 hours,100%
Exterior Painting,Engineering Department,0%,120 hours,100%
Exterior Wall Insulation,Engineering Department,0%,120 hours,100%
Exterior Wall Cladding,Engineering Department,0%,240 hours,100%
Equipment Installation Engineering,Engineering Department,0%,720 hours,100%
Structure topping off to sellable condition,Engineering Department,0%,0 hours,100%
Exterior construction completed and all external scaffolding removed (in phases),Engineering Department,0%,120 hours,100%
Lobby Refined Renovation,Engineering Department,0%,800 hours,100%
Site Handover for Construction,Engineering Department,0%,24 hours,100%
Materials confirmation and price recognition completed,Cost Department,0%,80 hours,100%
Implementation and Confirmation of Renovation Samples,Engineering Department,0%,160 hours,100%
Interior Construction,Engineering Department,0%,560 hours,100%
Sales Office Interior Renovation,Engineering Department,0%,800 hours,100%
Site Handover for Construction,Engineering Department,0%,24 hours,100%
Materials confirmation and price recognition completed,Cost Department,0%,80 hours,100%
Implementation and Confirmation of Renovation Samples,Engineering Department,0%,160 hours,100%
Interior Construction,Engineering Department,0%,560 hours,100%
Sample Room Finishing,Engineering Department,0%,800 hours,100%
Site Handover for Construction,Engineering Department,0%,24 hours,100%
Materials confirmation and price recognition completed,Cost Department,0%,80 hours,100%
Implementation and Confirmation of Renovation Samples,Engineering Department,0%,160 hours,100%
Interior Construction,Engineering Department,0%,560 hours,100%
Soft furnishing and placement of decorations,Marketing Department,0%,240 hours,100%
Site Handover,Engineering Department,0%,16 hours,100%
Materials confirmation and price recognition completed,Cost Department,0%,24 hours,100%
Implementation and Confirmation of Decorative Samples,Marketing Department,0%,120 hours,100%
Decorative Construction,Marketing Department,0%,120 hours,100%
Items Arrangement and Cleaning,Marketing Department,0%,56 hours,100%
Greening and landscape construction outside the demonstration area,Engineering Department,0%,848 hours,100%
10. Clubhouse (on-site sales office) and demonstration area opening,Project Team,0%,8 hours,100%
Marketing,Marketing Department,0%,"6,136 hours",100%
Demo Area and Sales Office,Marketing Department,0%,"2,280 hours",100%
Sales Office (Outdoor),Marketing Department,0%,992 hours,100%
Field Sales Office Site Selection,Marketing Department,0%,240 hours,100%
Field Sales Office Design,Marketing Department,0%,360 hours,100%
Field Sales Office Construction and Arrangement,Marketing Department,0%,360 hours,100%
Develop the Management Method for Off-site Sales Office,Marketing Department,0%,96 hours,100%
Compile the on-site sales office reception process,Marketing Department,0%,96 hours,100%
Property service staff in place,Property Department,0%,40 hours,100%
Sales Office Opening (Field),Marketing Department,0%,8 hours,100%
Sales Office and Model Unit on Site,Marketing Department,0%,"1,016 hours",100%
Demo Area Scenario Layout Plan,Marketing Department,0%,240 hours,100%
Scenario Creation for Demonstration Area,Marketing Department,0%,240 hours,100%
Sales Office Handover,Marketing Department,0%,40 hours,100%
Sales Office and Model Room Material Arrangement,Marketing Department,0%,120 hours,100%
Sales Office Contract Printing Equipment Purchase,Marketing Department,0%,16 hours,100%
Sales Office Equipment Procurement,Marketing Department,0%,80 hours,100%
Sales Office Equipment and Facilities Arrangement,Marketing Department,0%,16 hours,100%
Sales Office Promotion Material Arrangement,Marketing Department,0%,16 hours,100%
Prepare Sales Office and Model Room Management Regulations,Marketing Department,0%,96 hours,100%
Compile sales office and model unit reception procedures,Marketing Department,0%,96 hours,100%
Property service staff in place,Marketing Department,0%,24 hours,100%
Property Company Bidding and Preparation of Pre-property Documents,General Manager,0%,480 hours,100%
Marketing Strategy Plan,Marketing Department,0%,"2,232 hours",100%
Selection of Advertising Company,Marketing Department,0%,240 hours,100%
Determine the overall promotion strategy plan,Marketing Department,0%,200 hours,100%
Marketing Channel Expansion and Integration,Marketing Department,0%,720 hours,100%
"Determine the project name, promotional slogan, and logo",Marketing Department,0%,160 hours,100%
"Determine the series of advertisements, outdoor advertising",Marketing Department,0%,160 hours,100%
Develop (Preheating Period) Media Plan,Marketing Department,0%,160 hours,100%
"Develop (Strong Sales Period, Sustained Period) Media Plan",Marketing Department,0%,80 hours,100%
Prop Preparation,Marketing Department,0%,"2,760 hours",100%
Basic Information,Marketing Department,0%,"2,760 hours",100%
Render the visual effect drawing,Marketing Department,0%,488 hours,100%
Provide furniture layout diagrams for unit types before and after integration,R&D Department,0%,8 hours,100%
Determine the rendering style,Marketing Department,0%,80 hours,100%
Rendered Effect Image,Marketing Department,0%,240 hours,100%
"Sample Area, Sample Room Photography",Marketing Department,0%,168 hours,100%
Sample Area and Model Room Photography Plan,Marketing Department,0%,40 hours,100%
Sample Area Model Room Photography,Marketing Department,0%,120 hours,100%
Map,Marketing Department,0%,456 hours,100%
Map Information Collection,Marketing Department,0%,80 hours,100%
Map Drawing,Marketing Department,0%,80 hours,100%
Sales Announcement Materials,Marketing Department,0%,360 hours,100%
Publicity License,Marketing Department,0%,56 hours,100%
"""Presale/Sales Contract Configuration Standards""",Marketing Department,0%,56 hours,100%
"""Pre-sale/Sales Contract Appendix""",Marketing Department,0%,56 hours,100%
Deposit Contract Template,Marketing Department,0%,56 hours,100%
"""Model Sales/Purchase Contract""",Marketing Department,0%,56 hours,100%
"""Supplementary Agreement for Presale/Sale Contract""",Marketing Department,0%,56 hours,100%
《Home Purchase Process》,Marketing Department,0%,8 hours,100%
"""Home Purchase Guidelines"" and ""Payment Guidelines""",Marketing Department,0%,240 hours,100%
Risk Disclosure,Marketing Department,0%,240 hours,100%
"Public display version, public display rack production",Marketing Department,0%,80 hours,100%
Website creation and publication,Marketing Department,0%,688 hours,100%
Prepare related images and text,Marketing Department,0%,80 hours,100%
Website Development Company Confirmed,Marketing Department,0%,160 hours,100%
Determine the overall content framework of the website,Marketing Department,0%,40 hours,100%
Determine website style,Marketing Department,0%,120 hours,100%
Page design and website setup,Marketing Department,0%,240 hours,100%
Website Launch,Marketing Department,0%,8 hours,100%
Multimedia Production,Marketing Department,0%,544 hours,100%
Multimedia Concept Design Plan,Marketing Department,0%,240 hours,100%
Multimedia design completed,Marketing Department,0%,240 hours,100%
Multimedia Batch Production,Marketing Department,0%,56 hours,100%
Film and Television,Marketing Department,0%,480 hours,100%
Film Script Design,Marketing Department,0%,240 hours,100%
Film Production,Marketing Department,0%,240 hours,100%
Text Materials,Marketing Department,0%,"2,280 hours",100%
Apartment Layout Design and Production,Marketing Department,0%,304 hours,100%
Internal Review and Confirmation of Unit Floor Plans,Marketing Department,0%,40 hours,100%
Unit Plan Printing Page Design,Marketing Department,0%,208 hours,100%
Printing completed,Marketing Department,0%,40 hours,100%
Poster (Simple Building Guide) Design and Production,Marketing Department,0%,472 hours,100%
Poster (Simple Building Guide) Concept Design Scheme,Marketing Department,0%,160 hours,100%
The product standards listed in the poster (simple building brochure) are reviewed and confirmed.,Marketing Department,0%,40 hours,100%
Poster (Simple Building Guide) Design Completed,Marketing Department,0%,208 hours,100%
Poster (Simple Building Book) Printing Completed,Marketing Department,0%,40 hours,100%
Building Book Design and Production,Marketing Department,0%,600 hours,100%
Concept Design of Building Brochure,Marketing Department,0%,240 hours,100%
Sign-off and confirmation of product standards listed in the building brochure,Marketing Department,0%,40 hours,100%
Completion of Building Book Design,Marketing Department,0%,240 hours,100%
The completion of building brochure printing,Marketing Department,0%,56 hours,100%
"Purchase Guide Compilation, Design, and Production",Marketing Department,0%,568 hours,100%
Purchase Guide Compilation,Marketing Department,0%,160 hours,100%
Purchase Notice Compilation and Co-signing Confirmation,Marketing Department,0%,40 hours,100%
Design of Home Buying Guidelines Completed,Marketing Department,0%,240 hours,100%
The printing of home-buying guidelines has been completed.,Marketing Department,0%,56 hours,100%
Materials,Marketing Department,0%,"1,720 hours",100%
Model,Marketing Department,0%,"1,720 hours",100%
Model (Field Sales Office),Marketing Department,0%,432 hours,100%
"Provide planning proposal, landscape proposal, and overall site plan, as well as electronic files of individual floor plans, elevations, and sections.",R&D Department,0%,8 hours,100%
Model Company Selection and Scheme Communication,Marketing Department,0%,160 hours,100%
Technical disclosure and monitoring,R&D Department,0%,280 hours,100%
Model Production and Installation,Marketing Department,0%,240 hours,100%
Model (On-site Sales Office),Marketing Department,0%,392 hours,100%
Model Company Selection and Scheme Communication,Marketing Department,0%,160 hours,100%
Technical disclosure and monitoring,R&D Department,0%,240 hours,100%
Model Production and Installation,Marketing Department,0%,240 hours,100%
Signage System Design and Production,Marketing Department,0%,"1,616 hours",100%
Sales Office Signage System Design and Production,Marketing Department,0%,328 hours,100%
Field Sales Office Signage System Layout Plan,Marketing Department,0%,80 hours,100%
Sales Office Signage System Design and Production,Marketing Department,0%,240 hours,100%
On-site Sales Office and Demonstration Area Signage System Design and Production,Marketing Department,0%,648 hours,100%
On-site Sales Office and Demonstration Area Signage System Layout Plan,Marketing Department,0%,240 hours,100%
On-site Sales Office and Demonstration Area Signage System Design and Production,Marketing Department,0%,400 hours,100%
Property Consultant Uniform,Marketing Department,0%,320 hours,100%
Clothing selection and contact with manufacturers,Marketing Department,0%,160 hours,100%
Clothing Production,Marketing Department,0%,160 hours,100%
"Name card, Name badge",Marketing Department,0%,208 hours,100%
"Name card, name badge design",Marketing Department,0%,120 hours,100%
"Name cards, chest badges production",Marketing Department,0%,80 hours,100%
Advertising and Promotion,Marketing Department,0%,"3,320 hours",100%
Outdoor Advertising,Marketing Department,0%,"4,960 hours",100%
Surrounding Road Signage,Marketing Department,0%,"4,536 hours",100%
Peripheral Road Signage Site Selection,Marketing Department,0%,496 hours,100%
Surrounding Road Signage Location Announcement,Marketing Department,0%,"3,800 hours",100%
Key traffic route outdoor placement,Marketing Department,0%,"4,240 hours",100%
Key transportation route outdoor site selection,Marketing Department,0%,"1,200 hours",100%
Key Transportation Route Outdoor Site Selection Announcement,Marketing Department,0%,"2,800 hours",100%
Online Advertising,Marketing Department,0%,"3,600 hours",100%
Network Advertising Space and Time Slot Booking,Marketing Department,0%,"3,600 hours",100%
Network Advertising Design and Publication,Marketing Department,0%,"3,360 hours",100%
Newspaper Advertisement,Marketing Department,0%,"2,640 hours",100%
Newspaper Ad Slot and Time Booking,Marketing Department,0%,"2,400 hours",100%
Newspaper Design and Publication,Marketing Department,0%,"2,400 hours",100%
Magazine Advertisement,Marketing Department,0%,"3,920 hours",100%
Magazine Ad Space and Time Slot Booking,Marketing Department,0%,"3,680 hours",100%
Magazine Advertisement Design and Publication,Marketing Department,0%,"3,680 hours",100%
Television advertisement,Marketing Department,0%,"2,456 hours",100%
TV Commercial Script Creativity and Production,Marketing Department,0%,320 hours,100%
Television Advertising Booking,Marketing Department,0%,296 hours,100%
Television Advertising Release,Marketing Department,0%,"2,000 hours",100%
Radio Advertisement,Marketing Department,0%,"2,232 hours",100%
Radio script creativity and production,Marketing Department,0%,240 hours,100%
Radio Advertising Booking,Marketing Department,0%,"1,760 hours",100%
Radio Advertisement Release,Marketing Department,0%,"2,000 hours",100%
Address Database Advertisement,Marketing Department,0%,"3,360 hours",100%
Address Database Selection and Vendor Communication,Marketing Department,0%,"2,400 hours",100%
Address Database Advertisement Release,Marketing Department,0%,"3,200 hours",100%
Public Relations Activities,Marketing Department,0%,664 hours,100%
Sample Area Opening Event,Marketing Department,0%,392 hours,100%
Activity Theme and Plan Planning,Marketing Department,0%,80 hours,100%
Public Relations Company Proposal,Marketing Department,0%,160 hours,100%
Activity-related Preparation,Marketing Department,0%,240 hours,100%
Activity Implementation,Marketing Department,0%,0 hours,100%
Opening Event,Marketing Department,0%,664 hours,100%
Activity Theme and Plan Planning,Marketing Department,0%,160 hours,100%
Public Relations Company Proposal,Marketing Department,0%,160 hours,100%
Activity-related Preparation,Marketing Department,0%,320 hours,100%
Activity Implementation,Marketing Department,0%,0 hours,100%
Sales Training,Marketing Department,0%,"1,896 hours",100%
Sales Consultant in Place,Marketing Department,0%,240 hours,100%
Market Research,Marketing Department,0%,120 hours,100%
Compile Sales Training Materials,Marketing Department,0%,"1,720 hours",100%
Standard Sales Training,Marketing Department,0%,240 hours,100%
Sales pitch for property types,Marketing Department,0%,80 hours,100%
Model Explanation,Marketing Department,0%,40 hours,100%
Spokescript for the Demonstration Area,Marketing Department,0%,80 hours,100%
Visit Route Plan,Marketing Department,0%,40 hours,100%
Sales Training,Marketing Department,0%,480 hours,100%
Sales Supporting Organization Confirmation,Finance Department,0%,440 hours,100%
Selection and confirmation of loan banks,Finance Department,0%,400 hours,100%
Loan Bank Training,Finance Department,0%,24 hours,100%
Selection and Confirmation of Notary Office,Finance Department,0%,160 hours,100%
Notary Office Training,Finance Department,0%,8 hours,100%
Public,Marketing Department,0%,"1,520 hours",100%
Appearance,Marketing Department,0%,0 hours,100%
Sales Office Opening (Field),Marketing Department,0%,8 hours,100%
On-site Sales Office Opening,Marketing Department,0%,8 hours,100%
On-site Demonstration Area Opening,Marketing Department,0%,8 hours,100%
Pre-sale Permit Processing,Marketing Department,0%,"3,568 hours",100%
Retrieve the company security key,Marketing Department,0%,240 hours,100%
Land Name Application,Marketing Department,0%,240 hours,100%
Application for Door Number,Marketing Department,0%,240 hours,100%
New Construction Start Registration,Marketing Department,0%,240 hours,100%
Enterprise Certification,Marketing Department,0%,240 hours,100%
Project Certification,Marketing Department,0%,240 hours,100%
Surveying and Mapping,Marketing Department,0%,480 hours,100%
Construction Plan Submission,Engineering Department,0%,8 hours,100%
Construction Plan Approval,Engineering Department,0%,8 hours,100%
Supporting Plan Submission,Engineering Department,0%,8 hours,100%
Supporting Plan Approval,Engineering Department,0%,8 hours,100%
Application (Demonstration Area) Pre-sale Permit Pre-sale Permit,Marketing Department,0%,616 hours,100%
On-site Attestation Report (Demonstration Area),Marketing Department,0%,24 hours,100%
Shanghai Commercial Housing Pre-sale Project Status Table,Marketing Department,0%,24 hours,100%
Real Estate Development Enterprise Qualification Certificate,Administration Department,0%,8 hours,100%
Land Use Right Transfer Contract,Development Department,0%,8 hours,100%
Real Estate Ownership Certificate,Development Department,0%,8 hours,100%
Construction Engineering Planning Permit,R&D Department,0%,8 hours,100%
Construction Engineering Construction Permit,Engineering Department,0%,8 hours,100%
An engineering progress certification report issued by a qualified surveying institution,Engineering Department,0%,24 hours,100%
Construction Area Survey Detail Table (Preliminary Measured Area Survey Results Report),Marketing Department,0%,8 hours,100%
Agreement for the supervision of pre-sale funds with the institution responsible for fund supervision of real estate projects in this city,Finance Department,0%,8 hours,100%
"Pre-sale Plan for Commercial Housing (including sales personnel position certificates and commitment letters, sales prices, and price fluctuation ranges)",Marketing Department,0%,80 hours,100%
"Proof that supporting facilities such as water, electricity, and coal have been secured",Engineering Department,0%,8 hours,100%
House Usage Convention,Property Department,0%,8 hours,100%
Pre-construction Property Bidding Certificate and the Pre-construction Property Management Service Contract Signed with the Appointed Property Management Company,Property Department,0%,8 hours,100%
Property Management and Homeowners' Committee Office Configuration Information,Property Department,0%,8 hours,100%
Property Management Company's Qualification Certificate,Property Department,0%,8 hours,100%
Residential Commercial Building Master Plan,R&D Department,0%,24 hours,100%
Apply for the Pre-sale Permit,Marketing Department,0%,120 hours,100%
Application (First Batch of Housing Units) Pre-sale Permit Pre-sale Permit,Marketing Department,0%,688 hours,100%
On-site Attestation Report (First Batch of Housing Units),Marketing Department,0%,24 hours,100%
Shanghai Commercial Housing Pre-sale Project Status Table,Marketing Department,0%,24 hours,100%
Real Estate Development Enterprise Qualification Certificate,Administration Department,0%,8 hours,100%
Land Use Right Transfer Contract,Development Department,0%,8 hours,100%
Real Estate Ownership Certificate,Development Department,0%,8 hours,100%
Construction Engineering Planning Permit,Engineering Department,0%,8 hours,100%
Construction Engineering Construction Permit,Marketing Department,0%,8 hours,100%
An engineering progress certification report issued by a qualified surveying institution,Marketing Department,0%,8 hours,100%
Construction Area Survey Detail Table (Preliminary Measured Area Survey Results Report),Marketing Department,0%,8 hours,100%
Agreement for the supervision of pre-sale funds with the institution responsible for fund supervision of real estate projects in this city,Finance Department,0%,16 hours,100%
"Pre-sale Plan for Commercial Housing (including sales personnel position certificates and commitment letters, sales prices, and price fluctuation ranges)",Marketing Department,0%,80 hours,100%
"Proof that supporting facilities such as water, electricity, and coal have been secured",Engineering Department,0%,8 hours,100%
House Usage Convention,Property Department,0%,8 hours,100%
Pre-construction Property Bidding Certificate and the Pre-construction Property Management Service Contract Signed with the Appointed Property Management Company,Property Department,0%,8 hours,100%
Property Management and Homeowners' Committee Office Configuration Information,Property Department,0%,8 hours,100%
Property Management Company's Qualification Certificate,Property Department,0%,8 hours,100%
Residential Commercial Building Master Plan,R&D Department,0%,24 hours,100%
Apply for the Pre-sale Permit,Marketing Department,0%,120 hours,100%
11. Obtain the pre-sale permit,Marketing Department,0%,24 hours,100%
Cancel Bank Mortgage Rights,Finance Department,0%,24 hours,100%
List property for sale/rent,Marketing Department,0%,24 hours,100%
Marketing Opening Phase Achievements,Project Team,0%,344 hours,100%
28. Marketing Strategy Plan,Marketing Department,0%,240 hours,100%
"29. ""Sales Contract Configuration Standards""",Marketing Department,0%,120 hours,100%
"30. ""Contract Appendix Drawing""",Marketing Department,0%,240 hours,100%
31. Price List and Payment Method,Marketing Department,0%,56 hours,100%
Project leader reviews and submits to PMO meeting,Project Leader,0%,8 hours,100%
PMO Meeting Review and Argumentation,PMO,0%,8 hours,100%
Submit for Group Approval,PMO Convenor,0%,8 hours,100%
12. First Opening,Marketing Department,0%,8 hours,100%
Second Opening,Marketing Department,0%,8 hours,100%
Third Opening,Marketing Department,0%,8 hours,100%
Fourth Opening,Marketing Department,0%,8 hours,100%
Handover Phase,Engineering Department,0%,"1,680 hours",100%
Complete Property Handover,Engineering Department,0%,160 hours,100%
Handover Preparation,Marketing Department,0%,"1,448 hours",100%
Measure property area and land area,Marketing Department,0%,440 hours,100%
Establish a housing delivery preparation team and hold a housing delivery preparation meeting,Marketing Department,0%,8 hours,100%
"Implement key control nodes of various departments before delivery, and determine the concentrated delivery period",Marketing Department,0%,8 hours,100%
Identify customer-sensitive issues and propose solutions,Marketing Department,0%,640 hours,100%
Handover Event Preparation,Marketing Department,0%,400 hours,100%
Organize each department to handle customer reports and monitor the processing results,Marketing Department,0%,640 hours,100%
Site Open Day Preparation,Marketing Department,0%,200 hours,100%
Open Site Day,Project Team,0%,16 hours,100%
Problem Rectification,Engineering Department,0%,200 hours,100%
"Residential Quality Guarantee Book and Residential User Manual Compilation, Design and Production",Marketing Department,0%,200 hours,100%
Handover Site Arrangement,Marketing Department,0%,16 hours,100%
"Handover Training, Staff Arrangement",Marketing Department,0%,40 hours,100%
Deliverable Results at Handover Stage,Project Team,0%,360 hours,100%
"32. ""Handover Plan""",Marketing Department,0%,240 hours,100%
"33. ""Commercial Handover Plan""",Commercial Operation Company,0%,240 hours,100%
34. Asset Management Plan,Finance Department,0%,240 hours,100%
Project leader reviews and submits to PMO meeting,Project Leader,0%,8 hours,100%
PMO Meeting Review and Argumentation,PMO,0%,8 hours,100%
Submit for Group Approval,PMO Convenor,0%,24 hours,100%
13. Delivery of housing,Marketing Department,0%,0 hours,100%
14. Delivery completion 95%,Marketing Department,0%,240 hours,100%
Post-Delivery Phase,Project Team,0%,288 hours,100%
Project Subsequent Results,Project Team,0%,288 hours,100%
35. Project Post-Evaluation,PMO,0%,240 hours,100%
Post-Project Evaluation Report Meeting,PMO,0%,16 hours,100%
Submit for Group Approval,PMO Convenor,0%,32 hours,100%
